ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
20779,HV252460,09/22/2012 09:00:00 AM,019XX S HOMAN AVE,0110,HOMICIDE,FIRST DEGREE MURDER,APARTMENT,true,true,1024,010,24,29,01A,1154007,1890267,2012,03/19/2019 04:11:22 PM,41.85472273,-87.710213449,"(41.85472273, -87.710213449)"
20781,HW124411,01/20/2013 02:12:00 AM,020XX W 69TH PL,0110,HOMICIDE,FIRST DEGREE MURDER,HOUSE,true,false,0735,007,17,67,01A,1163910,1858563,2013,03/18/2019 04:08:09 PM,41.767520286,-87.674756939,"(41.767520286, -87.674756939)"
20782,HW128614,01/23/2013 10:07:00 PM,010XX N AVERS AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,1112,011,27,23,01A,1150529,1906665,2013,03/19/2019 04:11:22 PM,41.899789214,-87.722550972,"(41.899789214, -87.722550972)"
20783,HW131095,01/25/2013 02:59:00 PM,058XX S SHIELDS AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,true,true,0711,007,20,68,01A,1174958,1866092,2013,03/18/2019 04:08:09 PM,41.787941422,-87.634036893,"(41.787941422, -87.634036893)"
20784,HW131870,01/26/2013 02:17:00 AM,011XX S MOZART ST,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,1135,011,28,29,01A,1157528,1895062,2013,03/19/2019 04:11:22 PM,41.867809872,-87.697159411,"(41.867809872, -87.697159411)"
20785,HW131920,01/26/2013 04:00:00 AM,005XX W PERSHING RD,0110,HOMICIDE,FIRST DEGREE MURDER,PARKING LOT,false,false,0915,009,11,60,01A,1173129,1879047,2013,03/18/2019 04:08:09 PM,41.82353187,-87.640360088,"(41.82353187, -87.640360088)"
20786,HW131920,01/26/2013 04:00:00 AM,005XX W PERSHING RD,0110,HOMICIDE,FIRST DEGREE MURDER,PARKING LOT,false,false,0915,009,11,60,01A,1173129,1879047,2013,03/19/2019 04:11:22 PM,41.82353187,-87.640360088,"(41.82353187, -87.640360088)"
20787,HW132598,01/26/2013 04:15:00 PM,042XX W CONGRESS PKWY,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,1132,011,24,26,01A,1148108,1897352,2013,03/19/2019 04:11:22 PM,41.874280263,-87.731683239,"(41.874280263, -87.731683239)"
20788,HW132598,01/26/2013 04:15:00 PM,042XX W CONGRESS PKWY,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,1132,011,24,26,01A,1148108,1897352,2013,03/19/2019 04:11:22 PM,41.874280263,-87.731683239,"(41.874280263, -87.731683239)"
20789,HW132962,01/26/2013 10:21:00 PM,070XX S CARPENTER ST,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,0733,007,17,68,01A,1170531,1858105,2013,03/18/2019 04:08:09 PM,41.766121798,-87.650501419,"(41.766121798, -87.650501419)"
